Event,Time_CPU,Time_RTC,Ardn_time[ms],ADC[0-0123],SiPM[mV],Deadtime[ms],Temp[C]
4587,11:58:39,1:10:55,3129984,335,61.77,631191,37.01
4588,11:58:39,1:10:55,3130253,243,41.74,631197,37.33
4589,11:58:39,1:10:56,3130291,206,35.07,631203,37.33
4590,11:58:40,1:10:56,3130383,206,35.07,631209,37.01
4591,11:58:40,1:10:56,3131207,423,97.36,631215,37.23
4592,11:58:41,1:10:57,3131231,519,154.30,631221,37.23
4593,11:58:41,1:10:57,3131246,344,64.67,631227,37.23
4594,11:58:41,1:10:57,3131314,238,40.82,631243,37.01
4595,11:58:42,1:10:58,3131632,647,246.69,631249,37.12
4596,11:58:42,1:10:58,3131827,483,132.60,631255,37.23
4597,11:58:42,1:10:58,3132000,76,19.69,631261,37.12
4598,11:58:43,1:10:59,3132029,415,95.00,631267,37.12
4599,11:58:43,1:10:59,3132102,195,33.17,631273,37.23
4600,11:58:43,1:10:59,3132161,480,130.21,631279,37.12
4601,11:58:44,1:11:0,3132257,96,21.67,631285,37.01
4602,11:58:44,1:11:0,3132320,227,38.83,631291,37.12
4603,11:58:44,1:11:0,3132746,238,40.82,631297,37.33
4604,11:58:45,1:11:1,3132914,376,76.43,631303,37.33
4605,11:58:45,1:11:1,3133107,188,32.01,631309,37.23
4606,11:58:45,1:11:1,3133279,463,119.23,631315,37.33
4607,11:58:45,1:11:1,3133342,255,43.96,631321,37.23
4608,11:58:45,1:11:1,3133761,399,87.30,631327,37.12
4609,11:58:45,1:11:1,3133845,480,130.21,631333,37.23
4610,11:58:46,1:11:2,3134018,828,633.98,631339,37.23
4611,11:58:46,1:11:2,3134480,263,45.37,631345,37.01
4612,11:58:47,1:11:3,3134624,216,36.85,631351,37.01
4613,11:58:47,1:11:3,3134667,184,31.36,631357,37.23
4614,11:58:47,1:11:3,3134738,135,24.92,631363,37.01
4615,11:58:48,1:11:4,3134924,527,155.96,631369,37.12
4616,11:58:48,1:11:4,3135028,560,175.34,631375,37.23
4617,11:58:49,1:11:5,3135069,239,41.02,631381,37.23
4618,11:58:49,1:11:5,3135121,463,119.23,631387,37.12
4619,11:58:50,1:11:6,3135367,163,28.20,631393,37.23
4620,11:58:50,1:11:6,3135647,519,154.30,631399,37.01
4621,11:58:51,1:11:7,3135674,103,22.23,631405,37.01
4622,11:58:51,1:11:7,3135688,83,20.46,631411,37.01
4623,11:58:51,1:11:7,3135847,399,87.30,631423,37.01
4624,11:58:52,1:11:8,3136041,327,59.28,631429,37.01
4625,11:58:52,1:11:8,3136188,707,320.63,631435,37.33
4626,11:58:52,1:11:8,3136662,575,187.30,631441,37.23
4627,11:58:52,1:11:9,3136712,79,20.03,631447,37.33
4628,11:58:53,1:11:9,3136774,728,431.28,631453,37.33
4629,11:58:53,1:11:9,3136836,179,30.55,631459,37.01
4630,11:58:54,1:11:10,3136850,504,143.61,631465,37.23
4631,11:58:54,1:11:10,3136932,496,144.49,631471,37.12
4632,11:58:54,1:11:11,3136991,271,46.93,631477,37.33
4633,11:58:55,1:11:11,3137159,252,43.42,631483,37.01
4634,11:58:55,1:11:11,3137182,472,125.87,631489,37.01
4635,11:58:56,1:11:12,3137211,291,50.97,631495,37.12
4636,11:58:56,1:11:12,3137447,124,23.92,631501,37.33
4637,11:58:57,1:11:13,3137505,371,73.82,631507,37.01
4638,11:58:57,1:11:13,3137823,812,680.88,631513,37.01
4639,11:58:57,1:11:13,3137945,423,97.36,631519,37.23
4640,11:58:57,1:11:13,3137986,159,27.66,631525,37.23
4641,11:58:58,1:11:14,3138073,335,61.77,631531,37.01
4642,11:58:58,1:11:14,3138248,543,164.77,631537,37.12
4643,11:58:58,1:11:14,3138280,856,997.78,631543,37.33
4644,11:58:58,1:11:14,3138327,496,144.49,631549,37.01
4645,11:58:58,1:11:14,3138518,295,51.75,631555,37.33
4646,11:58:58,1:11:14,3138577,255,43.96,631561,37.01
4647,11:58:59,1:11:15,3138867,248,42.69,631567,37.23
4648,11:58:59,1:11:15,3138977,399,87.30,631573,37.12
4649,11:59:00,1:11:16,3139183,430,101.41,631579,37.33
4650,11:59:00,1:11:16,3139302,531,160.62,631585,37.33
4651,11:59:00,1:11:16,3139352,440,109.25,631591,37.12
4652,11:59:01,1:11:17,3139600,399,87.30,631597,37.12
4653,11:59:01,1:11:17,3139663,209,35.61,631603,37.33
4654,11:59:02,1:11:18,3139678,864,739.66,631609,37.12
4655,11:59:02,1:11:18,3139886,49,15.48,631615,37.01
4656,11:59:02,1:11:18,3140109,302,53.30,631621,37.23
4657,11:59:02,1:11:18,3140268,355,68.30,631627,37.01
4658,11:59:03,1:11:19,3140286,240,41.21,631633,37.01
4659,11:59:03,1:11:19,3140306,255,43.96,631639,37.12
4660,11:59:03,1:11:19,3140531,280,48.67,631654,37.12
4661,11:59:04,1:11:20,3140619,460,119.54,631660,37.01
4662,11:59:04,1:11:20,3140710,316,56.81,631666,37.33
4663,11:59:05,1:11:21,3140755,295,51.75,631672,37.01
4664,11:59:05,1:11:21,3140854,216,36.85,631678,37.23
4665,11:59:05,1:11:21,3140953,408,90.57,631684,37.12
4666,11:59:06,1:11:22,3141012,353,67.64,631690,37.12
4667,11:59:06,1:11:22,3141084,359,69.86,631696,37.33
4668,11:59:07,1:11:23,3141246,323,58.48,631702,37.23
4669,11:59:07,1:11:23,3141326,291,50.97,631708,37.12
4670,11:59:07,1:11:23,3141660,399,87.30,631714,37.23
4671,11:59:08,1:11:24,3142002,167,28.76,631720,37.01
4672,11:59:08,1:11:24,3142177,384,80.08,631726,37.01
4673,11:59:09,1:11:25,3142545,760,464.80,631732,37.01
4674,11:59:09,1:11:25,3142637,536,160.18,631738,37.12
4675,11:59:09,1:11:25,3142802,526,158.17,631744,37.12
4676,11:59:10,1:11:26,3143033,399,87.30,631750,37.12
4677,11:59:10,1:11:26,3143281,423,97.36,631756,37.33
4678,11:59:10,1:11:26,3143309,368,72.93,631762,37.01
4679,11:59:10,1:11:26,3143383,327,59.28,631768,37.12
4680,11:59:11,1:11:27,3143444,287,50.23,631774,37.12
4681,11:59:11,1:11:27,3143700,432,101.61,631780,37.01
4682,11:59:11,1:11:27,3143762,334,61.44,631786,37.01
4683,11:59:11,1:11:27,3143813,291,50.97,631792,37.01
4684,11:59:12,1:11:28,3143920,487,132.65,631798,37.23
4685,11:59:12,1:11:28,3144025,348,65.64,631804,37.01
4686,11:59:12,1:11:28,3144290,96,21.67,631810,37.01
4687,11:59:13,1:11:29,3144305,307,54.48,631816,37.12
4688,11:59:13,1:11:29,3144323,472,125.87,631822,36.90
4689,11:59:14,1:11:30,3144401,455,117.03,631843,37.23
4690,11:59:14,1:11:30,3144516,384,80.08,631849,37.12
4691,11:59:14,1:11:30,3144553,270,46.71,631855,37.23
4692,11:59:15,1:11:31,3144655,255,43.96,631861,37.23
4693,11:59:15,1:11:31,3144857,624,242.54,631867,37.33
4694,11:59:15,1:11:31,3144920,51,15.86,631873,37.12
4695,11:59:15,1:11:31,3145028,339,62.98,631879,37.01
4696,11:59:16,1:11:32,3145177,211,35.96,631885,37.23
4697,11:59:16,1:11:32,3145380,440,109.25,631891,37.12
4698,11:59:17,1:11:33,3145482,280,48.67,631897,37.12
4699,11:59:17,1:11:33,3145525,463,119.23,631903,37.01
4700,11:59:18,1:11:34,3145531,451,113.08,631909,37.12
4701,11:59:18,1:11:34,3145845,391,82.35,631920,37.01
4702,11:59:18,1:11:34,3145875,83,20.46,631926,37.12
4703,11:59:19,1:11:35,3146022,140,25.42,631932,37.01
4704,11:59:19,1:11:35,3146241,159,27.66,631938,37.33
4705,11:59:19,1:11:35,3146252,236,40.44,631944,37.01
4706,11:59:19,1:11:35,3146267,334,61.44,631950,37.12
4707,11:59:20,1:11:36,3146348,300,52.79,631976,37.23
4708,11:59:20,1:11:36,3146426,56,16.76,631982,36.90
4709,11:59:20,1:11:37,3146649,167,28.76,631988,37.23
4710,11:59:21,1:11:37,3146806,704,326.52,631994,37.12
4711,11:59:21,1:11:37,3147059,88,20.96,632000,37.23
4712,11:59:22,1:11:38,3147314,451,113.08,632006,37.01
4713,11:59:22,1:11:38,3147361,192,32.67,632012,37.23
4714,11:59:23,1:11:39,3147389,487,132.65,632018,37.23
4715,11:59:23,1:11:39,3147454,344,64.67,632024,37.01
4716,11:59:23,1:11:39,3147481,177,30.25,632030,37.33
4717,11:59:24,1:11:40,3147493,81,20.25,632036,37.01
4718,11:59:24,1:11:40,3147673,166,28.62,632050,37.33
4719,11:59:24,1:11:40,3147769,159,27.66,632056,37.23
4720,11:59:24,1:11:40,3147935,415,95.00,632062,37.01
4721,11:59:24,1:11:41,3148072,399,87.30,632068,37.12
4722,11:59:25,1:11:41,3148124,63,17.91,632074,37.23
4723,11:59:25,1:11:41,3148193,368,72.93,632080,37.12
4724,11:59:25,1:11:41,3148234,369,73.42,632086,37.33
4725,11:59:25,1:11:41,3148248,312,55.68,632092,37.12
4726,11:59:26,1:11:42,3148327,551,164.56,632098,37.23
4727,11:59:26,1:11:42,3148349,391,82.35,632104,37.12
4728,11:59:26,1:11:42,3148400,259,44.69,632110,37.12
4729,11:59:26,1:11:43,3148485,67,18.51,632116,37.01
4730,11:59:27,1:11:43,3148790,113,23.02,632122,37.01
4731,11:59:27,1:11:43,3148832,236,40.44,632128,37.01
4732,11:59:28,1:11:44,3148838,273,47.25,632134,37.01
4733,11:59:28,1:11:44,3149068,60,17.43,632143,37.12
4734,11:59:29,1:11:45,3149076,396,85.28,632149,37.12
4735,11:59:29,1:11:45,3149360,422,97.97,632156,37.01
4736,11:59:30,1:11:46,3149507,337,62.30,632162,37.01
4737,11:59:30,1:11:46,3149518,335,61.77,632169,37.33
4738,11:59:30,1:11:46,3149601,280,48.67,632175,37.33
4739,11:59:31,1:11:47,3149697,188,32.01,632181,37.33
4740,11:59:31,1:11:47,3149879,419,97.20,632187,37.23
4741,11:59:31,1:11:47,3150104,96,21.67,632193,37.01
4742,11:59:31,1:11:47,3150139,103,22.23,632199,37.12
4743,11:59:32,1:11:48,3150521,248,42.69,632205,37.33
4744,11:59:32,1:11:48,3150624,129,24.35,632211,37.01
4745,11:59:32,1:11:48,3150716,227,38.83,632217,37.23
4746,11:59:33,1:11:49,3150752,483,132.60,632223,37.12
4747,11:59:33,1:11:49,3150773,435,104.92,632229,36.80
4748,11:59:33,1:11:49,3150786,263,45.37,632235,37.23
4749,11:59:34,1:11:50,3150888,478,129.43,632260,37.33
4750,11:59:34,1:11:50,3151108,304,53.73,632266,37.01
4751,11:59:34,1:11:50,3151237,231,39.55,632272,37.01
4752,11:59:35,1:11:51,3151264,248,42.69,632278,37.33
4753,11:59:35,1:11:51,3151382,135,24.92,632284,37.12
4754,11:59:35,1:11:51,3151435,159,27.66,632290,36.80
4755,11:59:36,1:11:52,3151527,355,68.30,632296,37.23
4756,11:59:36,1:11:52,3151605,540,166.11,632302,37.23
4757,11:59:36,1:11:52,3151948,352,66.89,632308,37.33
4758,11:59:36,1:11:52,3152297,423,97.36,632314,37.23
4759,11:59:36,1:11:53,3152362,273,47.25,632320,37.33
4760,11:59:37,1:11:53,3152548,184,31.36,632326,37.23
4761,11:59:37,1:11:53,3152677,540,166.11,632332,37.33
4762,11:59:38,1:11:54,3152904,671,277.06,632338,37.33
4763,11:59:38,1:11:54,3152927,496,144.49,632344,36.80
4764,11:59:38,1:11:55,3153248,384,80.08,632351,37.01
4765,11:59:38,1:11:55,3153530,334,61.44,632357,37.33
4766,11:59:38,1:11:55,3153616,393,83.55,632363,37.01
4767,11:59:39,1:11:55,3153850,673,288.87,632369,37.01
4768,11:59:39,1:11:55,3153936,536,160.18,632375,37.01
4769,11:59:39,1:11:55,3154296,158,27.53,632381,37.23
4770,11:59:39,1:11:56,3154679,444,109.09,632387,37.33
4771,11:59:40,1:11:56,3154721,48,15.29,632393,37.23
4772,11:59:40,1:11:56,3154752,115,23.18,632399,36.80
4773,11:59:41,1:11:57,3154819,387,81.05,632405,37.01
4774,11:59:41,1:11:57,3154951,353,67.64,632411,37.01
4775,11:59:42,1:11:58,3154960,51,15.86,632417,37.01
4776,11:59:42,1:11:58,3155134,472,125.87,632423,37.12
4777,11:59:42,1:11:58,3155297,335,61.77,632429,37.01
4778,11:59:43,1:11:59,3155354,563,181.65,632435,37.01
4779,11:59:43,1:11:59,3155482,451,113.08,632441,37.12
4780,11:59:44,1:12:0,3155599,56,16.76,632447,37.33
4781,11:59:44,1:12:0,3155639,67,18.51,632453,37.23
4782,11:59:44,1:12:0,3155785,686,278.39,632459,37.01
4783,11:59:44,1:12:0,3156003,255,43.96,632465,37.23
4784,11:59:44,1:12:0,3156217,496,144.49,632471,37.01
4785,11:59:44,1:12:0,3156335,152,26.78,632477,37.01
4786,11:59:44,1:12:0,3156594,542,168.67,632483,37.33
4787,11:59:45,1:12:1,3156898,327,59.28,632489,37.12
4788,11:59:45,1:12:1,3156920,384,80.08,632495,37.01
4789,11:59:45,1:12:1,3156981,241,41.39,632501,36.80
4790,11:59:45,1:12:2,3157050,271,46.93,632507,37.12
4791,11:59:46,1:12:2,3157062,480,130.21,632513,37.01
4792,11:59:46,1:12:2,3157141,71,19.06,632519,37.12
4793,11:59:46,1:12:3,3157343,302,53.30,632525,37.12
4794,11:59:47,1:12:3,3157359,307,54.48,632531,37.23
4795,11:59:47,1:12:3,3157499,476,129.76,632537,37.01
4796,11:59:47,1:12:3,3157611,487,132.65,632543,37.23
4797,11:59:47,1:12:3,3157748,307,54.48,632549,37.23
4798,11:59:48,1:12:4,3157775,96,21.67,632555,37.01
4799,11:59:48,1:12:4,3157950,56,16.76,632561,37.12
4800,11:59:48,1:12:4,3158095,563,181.65,632567,37.12
4801,11:59:49,1:12:5,3158240,366,72.41,632573,37.23
4802,11:59:49,1:12:5,3158602,97,21.75,632579,37.01
4803,11:59:50,1:12:6,3158716,135,24.92,632585,37.01
4804,11:59:50,1:12:6,3158726,268,46.26,632591,37.23
4805,11:59:51,1:12:7,3158820,96,21.67,632597,37.23
4806,11:59:51,1:12:7,3158962,508,144.95,632603,37.01
4807,11:59:51,1:12:7,3159016,558,172.78,632609,37.23
4808,11:59:52,1:12:8,3159241,211,35.96,632615,37.33
4809,11:59:52,1:12:8,3159281,305,53.88,632621,37.01
4810,11:59:52,1:12:8,3159293,335,61.77,632627,36.80
4811,11:59:53,1:12:9,3159484,415,95.00,632633,36.80
4812,11:59:53,1:12:9,3159601,199,33.86,632639,37.33
4813,11:59:54,1:12:10,3159800,231,39.55,632645,37.01
4814,11:59:54,1:12:10,3159890,188,32.01,632651,37.01
4815,11:59:54,1:12:10,3159928,344,64.67,632657,37.12
4816,11:59:55,1:12:11,3159961,76,19.69,632663,37.23
4817,11:59:55,1:12:11,3160032,103,22.23,632669,37.12
4818,11:59:56,1:12:12,3160188,207,35.26,632675,37.23
4819,11:59:56,1:12:12,3160235,545,167.38,632681,37.01
4820,11:59:56,1:12:12,3160330,353,67.64,632687,37.12
4821,11:59:56,1:12:12,3160770,211,35.96,632693,36.80
4822,11:59:56,1:12:12,3160945,71,19.06,632699,37.23
4823,11:59:57,1:12:13,3161019,126,24.09,632705,37.01
4824,11:59:57,1:12:13,3161063,352,66.89,632711,37.33
4825,11:59:57,1:12:14,3161127,102,22.15,632717,37.33
4826,11:59:58,1:12:14,3161305,230,39.39,632723,37.33
4827,11:59:58,1:12:14,3161315,120,23.58,632729,36.80
4828,11:59:59,1:12:15,3161408,176,30.09,632735,37.01
4829,11:59:59,1:12:15,3161505,723,388.29,632741,37.12
4830,12:00:00,1:12:16,3161624,440,109.25,632747,37.12
4831,12:00:00,1:12:16,3161654,558,172.78,632753,37.23
4832,12:00:00,1:12:16,3161765,769,568.41,632759,37.33
4833,12:00:00,1:12:16,3161779,240,41.21,632765,36.80
4834,12:00:01,1:12:17,3161931,88,20.96,632771,37.12
4835,12:00:01,1:12:17,3161943,689,300.98,632777,37.33
4836,12:00:01,1:12:17,3162035,67,18.51,632783,37.01
4837,12:00:02,1:12:18,3162195,71,19.06,632789,37.23
4838,12:00:02,1:12:18,3162305,224,38.29,632795,37.33
4839,12:00:03,1:12:19,3162362,263,45.37,632801,36.80
4840,12:00:03,1:12:19,3162451,71,19.06,632807,37.12
4841,12:00:03,1:12:20,3162515,184,31.36,632813,37.33
4842,12:00:04,1:12:20,3162736,384,80.08,632819,37.01
4843,12:00:04,1:12:20,3162834,384,80.08,632825,37.23
4844,12:00:05,1:12:21,3162967,462,120.87,632831,36.80
4845,12:00:05,1:12:21,3163179,543,164.77,632837,37.33
4846,12:00:06,1:12:22,3163291,391,82.35,632843,36.80
4847,12:00:06,1:12:22,3163311,344,64.67,632849,37.23
4848,12:00:06,1:12:22,3163498,56,16.76,632855,37.23
4849,12:00:06,1:12:22,3163738,440,109.25,632861,37.33
4850,12:00:06,1:12:22,3163749,385,80.11,632867,37.23
4851,12:00:06,1:12:22,3163881,318,57.28,632873,37.01
4852,12:00:07,1:12:23,3163898,207,35.26,632879,37.23
4853,12:00:07,1:12:23,3163944,419,97.20,632885,37.12
4854,12:00:07,1:12:23,3163954,307,54.48,632891,36.80
4855,12:00:08,1:12:24,3164155,304,53.73,632909,36.80
4856,12:00:08,1:12:24,3164261,227,38.83,632915,37.12
4857,12:00:08,1:12:24,3164411,97,21.75,632921,37.12
4858,12:00:08,1:12:24,3164441,600,203.87,632927,37.23
4859,12:00:08,1:12:24,3164482,255,43.96,632933,36.80
4860,12:00:08,1:12:24,3164500,240,41.21,632939,36.90
4861,12:00:08,1:12:24,3164764,289,50.47,632945,36.58
4862,12:00:09,1:12:25,3164854,294,51.51,632951,37.12
4863,12:00:09,1:12:25,3165108,435,104.92,632957,37.23
4864,12:00:10,1:12:26,3165128,451,113.08,632964,37.12
4865,12:00:10,1:12:26,3165140,396,85.28,632970,37.23
4866,12:00:11,1:12:27,3165191,865,791.74,632993,36.80
4867,12:00:11,1:12:27,3165217,96,21.67,633005,36.58
4868,12:00:11,1:12:28,3165299,352,66.89,633027,37.23
4869,12:00:12,1:12:28,3165314,463,119.23,633033,36.80
4870,12:00:12,1:12:28,3165528,472,125.87,633039,37.23
4871,12:00:13,1:12:29,3165776,252,43.42,633045,36.90
4872,12:00:13,1:12:29,3165859,97,21.75,633051,37.23
4873,12:00:14,1:12:30,3165967,124,23.92,633057,36.58
4874,12:00:14,1:12:30,3166066,240,41.21,633063,37.33
4875,12:00:14,1:12:31,3166112,423,97.36,633069,36.90
4876,12:00:15,1:12:31,3166240,455,117.03,633075,37.23
4877,12:00:15,1:12:31,3166305,387,81.05,633081,36.80
4878,12:00:16,1:12:32,3166333,103,22.23,633087,37.01
4879,12:00:16,1:12:32,3166352,440,109.25,633093,37.12
4880,12:00:17,1:12:33,3166604,415,95.00,633100,37.01
4881,12:00:17,1:12:33,3166692,291,50.97,633107,37.23
4882,12:00:18,1:12:34,3166727,423,97.36,633113,36.80
4883,12:00:18,1:12:34,3167059,192,32.67,633119,36.80
4884,12:00:19,1:12:35,3167152,319,57.64,633125,37.01
4885,12:00:19,1:12:35,3167227,448,112.41,633131,36.80
4886,12:00:19,1:12:36,3167244,287,50.23,633137,37.12
4887,12:00:20,1:12:36,3167499,188,32.01,633143,36.58
4888,12:00:20,1:12:36,3167765,63,17.91,633149,37.12
4889,12:00:21,1:12:37,3167861,327,59.28,633155,36.58
4890,12:00:21,1:12:37,3167906,287,50.23,633161,37.12
4891,12:00:22,1:12:38,3168005,76,19.69,633167,36.90
4892,12:00:22,1:12:38,3168187,504,143.61,633173,37.01
4893,12:00:23,1:12:39,3168428,113,23.02,633179,37.01
4894,12:00:23,1:12:39,3168441,65,18.22,633185,37.33
4895,12:00:23,1:12:39,3168624,335,61.77,633191,37.33
4896,12:00:23,1:12:39,3168690,280,48.67,633197,36.58
4897,12:00:24,1:12:40,3168732,412,92.93,633203,37.01
4898,12:00:24,1:12:40,3168816,350,66.46,633209,37.01
4899,12:00:25,1:12:41,3168945,166,28.62,633215,37.23
4900,12:00:25,1:12:41,3168995,671,277.06,633221,37.12
4901,12:00:26,1:12:42,3169030,67,18.51,633227,36.80
4902,12:00:26,1:12:42,3169115,124,23.92,633233,37.01
4903,12:00:26,1:12:42,3169144,563,181.65,633239,37.23
4904,12:00:27,1:12:43,3169386,120,23.58,633245,37.33
4905,12:00:27,1:12:43,3169517,255,43.96,633251,36.90
4906,12:00:27,1:12:43,3169567,209,35.61,633257,36.90
4907,12:00:27,1:12:43,3169573,480,130.21,633263,37.01
4908,12:00:28,1:12:44,3169656,284,49.41,633272,36.80
4909,12:00:28,1:12:44,3169711,204,34.73,633278,36.90
4910,12:00:28,1:12:44,3169745,60,17.43,633284,36.80
4911,12:00:29,1:12:45,3169765,396,85.28,633290,36.58
4912,12:00:29,1:12:45,3169911,337,62.30,633296,37.23
4913,12:00:29,1:12:45,3170337,312,55.68,633302,37.23
4914,12:00:30,1:12:46,3170406,768,471.89,633308,37.23
4915,12:00:30,1:12:46,3170568,496,144.49,633314,37.33
4916,12:00:31,1:12:47,3170618,65,18.22,633320,37.12
4917,12:00:31,1:12:47,3170668,305,53.88,633326,36.80
4918,12:00:31,1:12:47,3170742,216,36.85,633332,37.33
4919,12:00:31,1:12:47,3170760,334,61.44,633338,36.90
4920,12:00:32,1:12:48,3170897,240,41.21,633344,36.58
4921,12:00:32,1:12:48,3170981,63,17.91,633350,37.01
4922,12:00:32,1:12:49,3171181,423,97.36,633356,37.23
4923,12:00:33,1:12:49,3171643,390,82.70,633362,37.23
4924,12:00:33,1:12:49,3171693,51,15.86,633368,36.80
4925,12:00:34,1:12:50,3171760,327,59.28,633374,37.23
4926,12:00:34,1:12:50,3171825,492,134.92,633380,37.01
4927,12:00:35,1:12:51,3172224,56,16.76,633386,37.01
4928,12:00:35,1:12:51,3172249,391,82.35,633392,37.01
4929,12:00:36,1:12:52,3172268,62,17.75,633398,37.01
4930,12:00:36,1:12:52,3172392,172,29.49,633405,36.58
4931,12:00:37,1:12:53,3172427,480,130.21,633411,36.37
4932,12:00:37,1:12:53,3172574,519,154.30,633417,37.23
4933,12:00:37,1:12:53,3172601,295,51.75,633423,36.80
4934,12:00:37,1:12:54,3172753,76,19.69,633429,37.33
4935,12:00:38,1:12:54,3172872,807,770.01,633435,37.01
4936,12:00:38,1:12:54,3173128,147,26.19,633441,37.33
4937,12:00:38,1:12:55,3173215,76,19.69,633447,37.23
4938,12:00:38,1:12:55,3173373,332,61.17,633453,36.80
4939,12:00:38,1:12:55,3173390,224,38.29,633459,37.01
4940,12:00:39,1:12:55,3173558,483,132.60,633465,37.23
4941,12:00:39,1:12:55,3173640,327,59.28,633471,36.80
4942,12:00:39,1:12:55,3173670,248,42.69,633477,37.33
4943,12:00:40,1:12:56,3173725,167,28.76,633483,37.01
4944,12:00:40,1:12:56,3173747,568,189.84,633489,36.58
4945,12:00:41,1:12:57,3173922,184,31.36,633495,37.33
4946,12:00:41,1:12:57,3173929,159,27.66,633501,37.23
4947,12:00:41,1:12:58,3174504,632,232.56,633508,37.01
4948,12:00:42,1:12:58,3174624,419,97.20,633514,37.23
4949,12:00:42,1:12:58,3174707,620,217.12,633520,36.80
4950,12:00:43,1:12:59,3174965,135,24.92,633526,37.01
4951,12:00:43,1:12:59,3175043,108,22.63,633532,36.58
4952,12:00:43,1:12:59,3175058,67,18.51,633538,37.33
4953,12:00:44,1:13:0,3175110,255,43.96,633544,37.33
4954,12:00:44,1:13:0,3175122,281,48.90,633550,37.01
4955,12:00:45,1:13:1,3175369,225,38.48,633560,36.58
4956,12:00:45,1:13:1,3175413,211,35.96,633566,36.90
4957,12:00:45,1:13:2,3175463,476,129.76,633572,37.12
4958,12:00:46,1:13:2,3175698,230,39.39,633578,37.33
4959,12:00:46,1:13:2,3176089,167,28.76,633584,37.23
4960,12:00:46,1:13:2,3176478,444,109.09,633590,36.58
4961,12:00:46,1:13:2,3176494,696,307.73,633596,36.80
4962,12:00:46,1:13:2,3176785,440,109.25,633602,37.23
4963,12:00:46,1:13:2,3176805,243,41.74,633608,36.90
4964,12:00:46,1:13:3,3176945,295,51.75,633614,36.58
4965,12:00:47,1:13:3,3176993,332,61.17,633620,37.12
4966,12:00:47,1:13:3,3177042,268,46.26,633626,37.33
4967,12:00:48,1:13:4,3177118,335,61.77,633632,36.80
4968,12:00:48,1:13:4,3177329,542,168.67,633638,36.80
4969,12:00:49,1:13:5,3177469,291,50.97,633644,37.33
4970,12:00:49,1:13:5,3177504,448,112.41,633650,37.12
4971,12:00:50,1:13:6,3177547,142,25.64,633656,37.33
4972,12:00:50,1:13:6,3177598,508,144.95,633662,36.58
4973,12:00:50,1:13:7,3177647,399,87.30,633668,36.58
4974,12:00:51,1:13:7,3177748,56,16.76,633674,37.12
4975,12:00:51,1:13:7,3177887,294,51.51,633680,36.58
4976,12:00:52,1:13:8,3177961,284,49.41,633686,36.58
4977,12:00:52,1:13:8,3178075,63,17.91,633692,37.23
4978,12:00:53,1:13:9,3178092,192,32.67,633698,36.58
4979,12:00:53,1:13:9,3178187,355,68.30,633704,36.58
4980,12:00:53,1:13:9,3178223,568,189.84,633710,37.23
4981,12:00:54,1:13:10,3178238,432,101.61,633716,37.33
4982,12:00:54,1:13:10,3178316,56,16.76,633722,37.23
4983,12:00:55,1:13:11,3178330,915,1467.31,633728,37.01
4984,12:00:55,1:13:11,3178361,334,61.44,633734,37.33
4985,12:00:55,1:13:11,3179084,275,47.73,633744,37.01
4986,12:00:56,1:13:12,3179114,179,30.55,633750,37.23
4987,12:00:56,1:13:12,3179350,384,80.08,633756,36.69
4988,12:00:57,1:13:13,3179478,560,175.34,633762,36.58
4989,12:00:57,1:13:13,3179504,135,24.92,633768,36.80
4990,12:00:58,1:13:14,3179782,860,906.43,633774,37.33
4991,12:00:58,1:13:14,3179792,147,26.19,633780,36.90
4992,12:00:58,1:13:15,3180041,391,82.35,633786,37.23
4993,12:00:59,1:13:15,3180065,408,90.57,633792,37.12
4994,12:00:59,1:13:15,3180078,575,187.30,633798,36.58
4995,12:00:59,1:13:15,3180466,255,43.96,633816,36.80
4996,12:00:59,1:13:16,3180610,440,109.25,633822,36.80
4997,12:01:00,1:13:16,3180636,255,43.96,633828,37.01
4998,12:01:00,1:13:16,3180768,124,23.92,633834,37.33
4999,12:01:00,1:13:16,3180798,344,64.67,633840,37.23
5000,12:01:01,1:13:17,3181007,103,22.23,633846,37.23
5001,12:01:01,1:13:17,3181158,568,189.84,633852,37.23
5002,12:01:01,1:13:17,3181170,71,19.06,633858,37.12
5003,12:01:01,1:13:17,3181177,339,62.98,633864,36.80
5004,12:01:01,1:13:17,3181224,332,61.17,633898,36.58
5005,12:01:01,1:13:17,3181282,211,35.96,633923,37.01
5006,12:01:02,1:13:18,3181426,280,48.67,633929,36.80
5007,12:01:02,1:13:18,3181454,163,28.20,633935,37.01
5008,12:01:02,1:13:18,3181475,486,135.98,633941,37.01
5009,12:01:03,1:13:19,3181485,755,529.80,633947,37.01
5010,12:01:03,1:13:19,3181564,94,21.50,633982,37.01
5011,12:01:03,1:13:19,3181579,352,66.89,633988,36.58
5012,12:01:04,1:13:20,3181739,56,16.76,634005,37.12
5013,12:01:04,1:13:20,3182049,159,27.66,634011,36.58
5014,12:01:05,1:13:21,3182152,319,57.64,634017,37.23
5015,12:01:05,1:13:21,3182241,291,50.97,634023,37.23
5016,12:01:06,1:13:22,3182289,118,23.42,634029,37.33
5017,12:01:06,1:13:22,3182359,391,82.35,634035,37.01
5018,12:01:07,1:13:23,3182456,254,43.77,634041,37.23
5019,12:01:07,1:13:23,3182723,423,97.36,634047,37.23
5020,12:01:07,1:13:23,3182749,295,51.75,634053,37.01
5021,12:01:07,1:13:24,3182873,238,40.82,634059,37.23
