Event,Time_CPU,Time_RTC,Ardn_time[ms],ADC[0-0123],SiPM[mV],Deadtime[ms],Temp[C]
110,11:00:39,0:12:55,118217,71,19.06,545,29.92
111,11:00:39,0:12:55,118423,63,17.91,550,29.92
112,11:00:40,0:12:56,120002,79,20.03,555,29.92
113,11:00:41,0:12:57,120212,337,62.30,560,29.92
114,11:00:41,0:12:57,120332,275,47.73,565,29.92
115,11:00:41,0:12:58,120787,92,21.32,570,29.92
116,11:00:42,0:12:58,121853,319,57.64,575,29.92
117,11:00:44,0:13:0,124026,255,43.96,580,29.92
118,11:00:45,0:13:1,124419,92,21.32,585,29.92
119,11:00:46,0:13:2,125913,135,24.92,590,29.92
120,11:00:50,0:13:6,129926,56,16.76,595,29.92
121,11:00:51,0:13:7,130794,88,20.96,600,29.92
122,11:00:54,0:13:10,133805,348,65.64,605,29.92
123,11:00:55,0:13:11,134398,287,50.23,610,29.92
124,11:00:55,0:13:12,135192,79,20.03,615,29.92
125,11:00:58,0:13:14,137934,358,69.10,620,29.92
126,11:00:59,0:13:15,138320,79,20.03,625,29.92
127,11:01:01,0:13:17,140600,723,388.29,630,29.92
128,11:01:02,0:13:18,141685,76,19.69,635,29.92
129,11:01:03,0:13:19,142889,312,55.68,640,29.92
130,11:01:04,0:13:21,144024,376,76.43,645,29.92
131,11:01:05,0:13:21,144812,390,82.70,650,29.92
132,11:01:06,0:13:22,145582,115,23.18,655,29.92
133,11:01:06,0:13:22,145632,135,24.92,660,29.92
134,11:01:11,0:13:27,151055,57,16.93,665,29.92
135,11:01:12,0:13:28,151166,96,21.67,670,29.92
136,11:01:12,0:13:28,151512,287,50.23,675,29.92
137,11:01:13,0:13:29,152810,92,21.32,680,29.92
138,11:01:14,0:13:30,153641,263,45.37,685,29.92
139,11:01:15,0:13:31,154797,71,19.06,691,29.92
140,11:01:17,0:13:33,156503,547,162.22,696,29.92
141,11:01:19,0:13:35,158624,51,15.86,701,29.92
142,11:01:21,0:13:37,160452,79,20.03,706,29.92
143,11:01:22,0:13:38,161329,729,380.02,711,29.92
144,11:01:22,0:13:38,161896,355,68.30,716,29.92
145,11:01:24,0:13:40,163822,176,30.09,721,29.92
146,11:01:24,0:13:41,163928,99,21.91,726,29.92
147,11:01:25,0:13:41,164217,654,259.18,731,29.92
148,11:01:25,0:13:41,165182,97,21.75,736,29.92
149,11:01:26,0:13:42,165889,240,41.21,741,29.92
150,11:01:26,0:13:43,165917,352,66.89,746,29.92
151,11:01:27,0:13:43,166223,167,28.76,751,29.92
152,11:01:32,0:13:48,171802,120,23.58,756,29.92
153,11:01:33,0:13:49,172638,79,20.03,761,29.92
154,11:01:40,0:13:56,179641,371,73.82,766,29.92
155,11:01:40,0:13:57,179941,263,45.37,771,29.92
