,Time_CPU,Time_RTC,"Acceleration[(x,y,z),(m/s^2)]","Magnetometer[(x,y,z),(uT)]"
52,11:07:49,0:20:6,"(-9.523237815, -0.573689025, -0.8031646349999999)","(46.8, 19.5, 2.6999999999999997)"
53,11:08:00,0:20:16,"(-9.523237815, -0.61193496, -0.8031646349999999)","(46.8, 19.8, 4.35)"
54,11:08:10,0:20:27,"(-9.637975619999999, -0.573689025, -0.68842683)","(47.55, 20.4, 4.35)"
55,11:08:21,0:20:37,"(-9.56148375, -0.45895122, -0.879656505)","(46.8, 20.7, 4.2)"
56,11:08:31,0:20:48,"(-9.676221555, -0.53544309, -0.91790244)","(46.5, 19.05, 4.8)"
57,11:08:42,0:20:58,"(-9.523237815, -0.53544309, -0.8031646349999999)","(46.199999999999996, 19.2, 4.2)"
58,11:08:52,0:21:9,"(-9.523237815, -0.61193496, -0.8031646349999999)","(46.199999999999996, 19.8, 4.6499999999999995)"
59,11:09:03,0:21:19,"(-9.637975619999999, -0.53544309, -0.879656505)","(46.65, 20.7, 4.35)"
60,11:09:13,0:21:30,"(-9.484991879999999, -0.53544309, -0.84141057)","(46.65, 19.95, 4.35)"
61,11:09:24,0:21:40,"(-9.523237815, -0.53544309, -0.84141057)","(47.4, 20.55, 4.6499999999999995)"
62,11:09:34,0:21:51,"(-10.135172775000001, -0.8031646349999999, -0.956148375)","(43.199999999999996, 42.6, 22.05)"
63,11:09:45,0:22:1,"(-9.1790244, -0.956148375, -0.267721545)","(46.199999999999996, 0.3, 28.349999999999998)"
64,11:09:56,0:22:12,"(-9.56148375, -0.45895122, -0.07649187)","(45.6, 10.2, 41.699999999999996)"
65,11:10:06,0:22:22,"(-9.56148375, -0.49719715499999995, -0.07649187)","(43.05, 11.25, 42.0)"
66,11:10:17,0:22:33,"(-9.56148375, -0.49719715499999995, 0.0)","(44.4, 10.95, 42.3)"
67,11:10:27,0:22:43,"(-9.523237815, -0.573689025, 0.0)","(43.65, 10.799999999999999, 41.85)"
68,11:10:38,0:22:54,"(-9.56148375, -0.53544309, 0.0)","(43.949999999999996, 11.4, 42.0)"
69,11:10:48,0:23:5,"(-9.599729685, -0.420705285, -0.114737805)","(44.699999999999996, 10.95, 41.699999999999996)"
70,11:10:59,0:23:15,"(-9.599729685, -0.53544309, -0.07649187)","(43.65, 11.25, 41.25)"
71,11:11:09,0:23:26,"(-9.56148375, -0.53544309, -0.038245935)","(44.4, 11.1, 40.8)"
72,11:11:20,0:23:36,"(-9.484991879999999, -0.49719715499999995, -0.07649187)","(43.35, 11.25, 41.25)"
73,11:11:31,0:23:47,"(-9.599729685, -0.573689025, 0.0)","(42.9, 11.1, 40.65)"
74,11:11:41,0:23:57,"(-9.56148375, -0.49719715499999995, 0.038245935)","(44.4, 11.4, 41.85)"
75,11:11:52,0:24:8,"(-9.599729685, -0.53544309, 0.0)","(44.25, 9.9, 41.1)"
76,11:12:02,0:24:18,"(-9.56148375, -0.53544309, 0.0)","(44.1, 10.95, 41.1)"
77,11:12:13,0:24:29,"(-9.637975619999999, -0.49719715499999995, 0.038245935)","(43.8, 10.65, 40.8)"
78,11:12:23,0:24:39,"(-9.56148375, -0.45895122, -0.15298374)","(44.1, 11.1, 41.55)"
79,11:12:34,0:24:50,"(-9.676221555, -0.53544309, -0.07649187)","(43.949999999999996, 10.799999999999999, 42.0)"
80,11:12:44,0:25:0,"(-9.56148375, -0.49719715499999995, 0.038245935)","(43.8, 10.95, 42.15)"
81,11:12:55,0:25:11,"(-9.56148375, -0.53544309, 0.07649187)","(43.8, 10.35, 42.449999999999996)"
82,11:13:05,0:25:21,"(-9.523237815, -0.45895122, -0.038245935)","(43.5, 11.4, 42.15)"
83,11:13:16,0:25:32,"(-9.56148375, -0.573689025, 0.0)","(44.1, 11.25, 42.3)"
84,11:13:26,0:25:43,"(-9.599729685, -0.53544309, -0.038245935)","(44.699999999999996, 11.4, 41.85)"
85,11:13:37,0:25:53,"(-9.523237815, -0.49719715499999995, 0.07649187)","(43.05, 10.95, 42.0)"
86,11:13:47,0:26:4,"(-9.56148375, -0.49719715499999995, 0.038245935)","(43.8, 11.7, 41.85)"
87,11:13:58,0:26:14,"(-9.56148375, -0.53544309, 0.191229675)","(43.8, 11.4, 42.15)"
88,11:14:09,0:26:25,"(-9.599729685, -0.61193496, 0.07649187)","(43.949999999999996, 12.15, 42.449999999999996)"
89,11:14:19,0:26:35,"(-9.523237815, -0.49719715499999995, 0.07649187)","(43.65, 12.15, 42.6)"
90,11:14:30,0:26:46,"(-9.56148375, -0.45895122, 0.038245935)","(43.65, 11.25, 41.699999999999996)"
